Symbol,Rank,MTF,Quality Score,LTP,Stock Name,Sector,Intrinsic,Dividend%,Announced,Executed,Revenue,Net Profit,Recommended,Projected High,Projected Medium,Projected Low,All time high,SMA 200,RSI,Day Volatility,Week Volatility,Month Volatility,Day Trend,Week Trend,Month Trend,Day Support,Week Support,Month Support,Day NWE,Week NWE,Month NWE
SHK,909.0,5.0,,238.76,S H KELKAR AND CO. LTD.,Basic Materials,91.89,,,,2230 cr,185 cr,none,430.0,430.0,430.0,362.9 => 34.0%,223.26 => 6.49%,41.73,2.69,8.92,15.49,Downtrend,Downtrend,Downtrend,156.61 => 34.41%,156.61 => 34.41%,81.65 => 65.8%,222.25 => 6.91%,184.49 => 22.73%,130.89 => 45.18%
VISHNU,910.0,5.0,,490.3,VISHNU CHEMICALS LIMITED,Basic Materials,137.68,,,,1455 cr,128 cr,none,650.0,650.0,650.0,595.8 => 18.0%,464.1 => 5.34%,46.35,2.76,6.63,15.46,Downtrend,Downtrend,Downtrend,336.0 => 31.47%,336.0 => 31.47%,247.0 => 49.62%,445.49 => 9.14%,426.49 => 13.01%,359.79 => 26.62%
KDDL,911.0,5.0,,2655.5,KDDL LIMITED,Consumer Cyclical,737.5,,,,1753 cr,98 cr,none,3070.0,3070.0,3070.0,3815.25 => 30.0%,2710.44 => -2.07%,62.2,4.18,6.58,18.38,Downtrend,Downtrend,Downtrend,2050.0 => 22.8%,2050.0 => 22.8%,100.92 => 96.2%,2298.87 => 13.43%,1987.47 => 25.16%,2040.4 => 23.16%
PENIND,912.0,5.0,,242.01,PENNAR INDUSTRIES LTD,Industrials,74.11,,,,3339 cr,125 cr,none,325.0,325.0,325.0,269.2 => 10.0%,206.17 => 14.81%,47.83,3.92,9.58,18.0,Downtrend,Downtrend,Downtrend,135.65 => 43.95%,135.65 => 43.95%,11.4 => 95.29%,217.9 => 9.96%,199.94 => 17.38%,160.85 => 33.54%
ARKADE,913.0,5.0,,175.89,ARKADE DEVELOPERS LIMITED,Real Estate,52.07,,,,717 cr,155 cr,none,0.0,0.0,0.0,213.69 => 18.0%,172.39 => 1.99%,39.08,2.27,6.2,14.82,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,163.69 => 6.94%,0.0 => 100.0%,0.0 => 100.0%
VIMTALABS,914.0,5.0,,731.9,VIMTA LABS LIMITED,Healthcare,85.19,,,,368 cr,72 cr,none,0.0,0.0,0.0,902.65 => 19.0%,532.02 => 27.31%,48.43,5.39,14.59,19.09,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,195.15 => 73.34%,25.75 => 96.48%,689.9 => 5.74%,559.21 => 23.59%,394.63 => 46.08%
PREMEXPLN,915.0,1.0,,604.1,PREMIER EXPLOSIVES LTD,Basic Materials,46.05,,,,486 cr,37 cr,none,0.0,0.0,0.0,908.8 => 34.0%,478.54 => 20.79%,63.35,5.24,11.15,21.52,Downtrend,Downtrend,Downtrend,309.15 => 48.82%,309.15 => 48.82%,11.02 => 98.18%,484.99 => 19.72%,356.39 => 41.01%,322.12 => 46.68%
IMAGICAA,916.0,5.0,,57.34,IMAGICAAWORLD ENT LTD,Communication Services,23.1,,,,374 cr,56 cr,none,77.0,77.0,77.0,207.0 => 72.0%,65.66 => -14.51%,48.34,2.68,6.61,14.4,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,2.3 => 95.99%,1.85 => 96.77%,51.35 => 10.44%,46.27 => 19.3%,37.78 => 34.11%
SBCL,917.0,5.0,,562.8,SHIVALIK BIMETAL CON. LTD,Industrials,70.53,,,,519 cr,82 cr,none,734.0,734.0,734.0,750.0 => 25.0%,506.77 => 9.95%,66.8,3.41,7.57,15.85,Downtrend,Downtrend,Downtrend,342.0 => 39.23%,342.0 => 39.23%,460.0 => 18.27%,485.55 => 13.73%,439.24 => 21.95%,0.0 => 100.0%
PARKHOTELS,918.0,5.0,,151.92,PARKHOTELS,Consumer Cyclical,59.95,,,,651 cr,99 cr,none,225.0,212.5,200.0,235.0 => 35.0%,162.46 => -6.94%,42.25,2.31,6.13,15.38,Downtrend,Downtrend,Downtrend,129.0 => 15.09%,129.0 => 15.09%,0.0 => 100.0%,146.93 => 3.29%,0.0 => 100.0%,0.0 => 100.0%
SENORES,919.0,5.0,,703.1,SENORES PHARMACEUTICALS L,Healthcare,168.0,,,,456 cr,68 cr,none,960.0,880.0,850.0,751.2 => 6.0%,0.0 => 100.0%,51.4,2.99,7.67,15.34,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,651.69 => 7.31%,0.0 => 100.0%,0.0 => 100.0%
JASH,920.0,1.0,,512.05,JASH ENGINEERING LIMITED,Industrials,68.55,,,,748 cr,82 cr,none,685.0,685.0,685.0,698.95 => 27.0%,567.74 => -10.88%,41.19,2.09,4.86,13.99,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,84.44 => 83.51%,14.04 => 97.26%,478.18 => 6.62%,453.64 => 11.41%,0.0 => 100.0%
GANECOS,921.0,5.0,,1203.0,GANESHA ECOSPHERE LIMITED,Consumer Cyclical,454.36,,,,1466 cr,91 cr,none,2335.0,2207.5,2080.0,2484.2 => 52.0%,1564.87 => -30.08%,24.22,3.28,7.91,18.94,Downtrend,Downtrend,Downtrend,1244.75 => -3.47%,1244.75 => -3.47%,141.1 => 88.27%,1198.43 => 0.38%,984.34 => 18.18%,924.98 => 23.11%
VEEDOL,922.0,5.0,,1894.0,VEEDOL CORPORATION LTD,Basic Materials,537.84,,,,2005 cr,181 cr,none,0.0,0.0,0.0,3688.74 => 49.0%,1614.68 => 14.75%,63.98,3.52,5.39,9.52,Downtrend,Downtrend,Downtrend,1305.0 => 31.1%,1305.0 => 31.1%,805.15 => 57.49%,1738.97 => 8.19%,1271.08 => 32.89%,1182.61 => 37.56%
BFUTILITIE,923.0,1.0,,851.25,BF UTILITIES LIMITED,Industrials,14.7,,,,871 cr,148 cr,none,0.0,0.0,0.0,2306.18 => 63.0%,785.04 => 7.78%,65.38,3.92,8.35,16.59,Downtrend,Downtrend,Downtrend,573.0 => 32.69%,573.0 => 32.69%,262.5 => 69.16%,739.25 => 13.16%,619.96 => 27.17%,604.27 => 29.01%
HIKAL,924.0,5.0,,259.85,HIKAL LIMITED,Healthcare,102.34,,,,1833 cr,63 cr,none,390.0,390.0,390.0,742.0 => 65.0%,356.01 => -37.01%,40.78,3.72,8.42,22.43,Downtrend,Downtrend,Downtrend,318.5 => -22.57%,318.5 => -22.57%,250.1 => 3.75%,230.52 => 11.29%,231.16 => 11.04%,230.56 => 11.27%
WSTCSTPAPR,925.0,5.0,,480.8,WEST COAST PAPER MILLS LT,Basic Materials,528.61,,,,4064 cr,252 cr,none,0.0,0.0,0.0,815.0 => 41.0%,496.75 => -3.32%,39.8,1.77,6.83,10.94,Downtrend,Downtrend,Downtrend,385.1 => 19.9%,385.1 => 19.9%,100.05 => 79.19%,445.49 => 7.34%,410.33 => 14.66%,367.75 => 23.51%
GATEWAY,926.0,5.0,,63.45,GATEWAY DISTRIPARKS LTD,Industrials,44.16,,,,1878 cr,382 cr,none,109.0,94.0,65.0,121.55 => 48.0%,68.17 => -7.43%,40.9,1.95,5.25,12.6,Downtrend,Downtrend,Downtrend,56.85 => 10.4%,56.85 => 10.4%,58.55 => 7.72%,60.44 => 4.74%,52.53 => 17.21%,0.0 => 100.0%
EMSLIMITED,927.0,5.0,,570.3,EMS LIMITED,Industrials,175.7,,,,998 cr,184 cr,none,0.0,0.0,0.0,1016.0 => 44.0%,661.04 => -15.91%,51.1,2.14,6.15,14.17,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,517.97 => 9.18%,495.16 => 13.18%,0.0 => 100.0%
BRIGHOTEL,928.0,5.0,,83.12,BRIGADE HOTEL VENTURE LTD,Consumer Cyclical,3.03,,,,491 cr,31 cr,strong_buy,117.0,117.0,117.0,91.77 => 9.0%,0.0 => 100.0%,44.61,2.51,6.14,0.0,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%
PATELENG,929.0,1.0,,39.02,PATEL ENGINEERING LTD.,Industrials,42.64,,,,5225 cr,274 cr,none,62.0,62.0,62.0,740.4 => 95.0%,43.34 => -11.07%,50.92,3.87,7.07,14.4,Downtrend,Downtrend,Downtrend,35.68 => 8.56%,35.68 => 8.56%,13.15 => 66.3%,36.64 => 6.11%,28.94 => 25.84%,26.52 => 32.03%
GLOBUSSPR,930.0,5.0,,1085.8,GLOBUS SPIRITS LTD,Consumer Defensive,343.66,,,,2595 cr,26 cr,none,1600.0,1600.0,1600.0,1759.5 => 38.0%,998.02 => 8.08%,44.81,2.3,7.22,15.78,Downtrend,Downtrend,Downtrend,751.0 => 30.83%,751.0 => 30.83%,661.3 => 39.1%,955.34 => 12.02%,916.97 => 15.55%,693.4 => 36.14%
RPEL,931.0,1.0,,684.3,RAGHAV PRODUCTIVITY ENH L,Basic Materials,42.18,,,,213 cr,40 cr,none,0.0,0.0,0.0,889.5 => 23.0%,638.62 => 6.68%,65.61,2.67,6.19,17.06,Downtrend,Downtrend,Downtrend,449.5 => 34.31%,449.5 => 34.31%,0.0 => 100.0%,611.29 => 10.67%,0.0 => 100.0%,0.0 => 100.0%
EFCIL,932.0,5.0,,314.1,EFC (I) LIMITED,Real Estate,54.54,,,,774 cr,132 cr,none,0.0,0.0,0.0,357.0 => 12.0%,0.0 => 100.0%,40.48,4.54,0.0,0.0,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%
PRABHA,933.0,1.0,,227.68,PRABHA ENERGY LIMITED,Energy,32.0,,,,4 cr,-1 cr,none,0.0,0.0,0.0,315.9 => 28.0%,0.0 => 100.0%,40.89,6.08,9.77,24.15,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,204.36 => 10.24%,0.0 => 100.0%,0.0 => 100.0%
PSPPROJECT,934.0,5.0,,779.3,PSP PROJECTS LIMITED,Industrials,306.76,,,,2407 cr,22 cr,none,881.0,679.0,510.0,846.0 => 8.0%,680.74 => 12.65%,59.69,3.05,6.21,9.41,Downtrend,Downtrend,Downtrend,565.4 => 27.45%,565.4 => 27.45%,565.4 => 27.45%,691.04 => 11.33%,661.29 => 15.14%,543.23 => 30.29%
TEAMLEASE,935.0,5.0,,1841.4,TEAMLEASE SERVICES LTD.,Industrials,540.87,,,,11467 cr,115 cr,none,3827.0,2245.0,1900.0,5550.0 => 67.0%,2110.71 => -14.63%,44.86,2.35,5.03,15.13,Downtrend,Downtrend,Downtrend,1641.2 => 10.87%,1641.2 => 10.87%,2007.25 => -9.01%,1754.23 => 4.73%,1408.6 => 23.5%,1170.62 => 36.43%
SUNDROP,936.0,5.0,,817.4,SUNDROP BRANDS LIMITED,Consumer Defensive,381.56,,,,1090 cr,-106 cr,none,1050.0,1050.0,1050.0,960.15 => 15.0%,0.0 => 100.0%,45.67,3.32,9.06,15.54,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,780.9 => 4.47%,0.0 => 100.0%,0.0 => 100.0%
EASEMYTRIP,937.0,5.0,,8.47,EASY TRIP PLANNERS LTD,Consumer Cyclical,1.88,,,,549 cr,76 cr,none,21.0,21.0,21.0,36.75 => 77.0%,11.86 => -40.07%,37.91,2.16,8.1,18.54,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,18.5 => -118.42%,18.5 => -118.42%,7.85 => 7.28%,5.9 => 30.37%,0.0 => 100.0%
TCPLPACK,938.0,1.0,,3391.9,TCPL PACKAGING LIMITED,Consumer Cyclical,707.43,,,,1789 cr,134 cr,none,0.0,0.0,0.0,4900.0 => 31.0%,3668.05 => -8.14%,45.03,1.99,3.98,18.32,Downtrend,Downtrend,Downtrend,3000.0 => 11.55%,3000.0 => 11.55%,130.0 => 96.17%,3134.25 => 7.6%,2938.37 => 13.37%,0.0 => 100.0%
FMGOETZE,939.0,5.0,,547.85,FEDERAL-MOGUL GOETZE (IND,Consumer Cyclical,228.0,,,,1839 cr,170 cr,none,0.0,0.0,0.0,666.45 => 18.0%,436.84 => 20.26%,47.67,2.59,5.56,13.82,Downtrend,Downtrend,Downtrend,308.0 => 43.78%,308.0 => 43.78%,202.35 => 63.06%,492.95 => 10.02%,467.5 => 14.67%,322.13 => 41.2%
ASHIANA,940.0,5.0,,302.6,ASHIANA HOUSING LTD,Real Estate,80.04,,,,699 cr,36 cr,none,0.0,0.0,0.0,469.0 => 35.0%,315.89 => -4.39%,37.17,2.25,5.38,15.67,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,247.8 => 18.11%,115.3 => 61.9%,285.43 => 5.67%,242.06 => 20.01%,239.93 => 20.71%
SIYSIL,941.0,5.0,,669.15,SIYARAM SILK MILLS LTD,Consumer Cyclical,282.81,,,,2304 cr,190 cr,none,0.0,0.0,0.0,1175.0 => 43.0%,727.43 => -8.71%,54.37,2.85,6.89,17.5,Downtrend,Downtrend,Downtrend,409.6 => 38.79%,409.6 => 38.79%,409.6 => 38.79%,601.96 => 10.04%,513.19 => 23.31%,441.03 => 34.09%
PRAKASH,942.0,5.0,,168.93,PRAKASH INDUSTRIES LTD,Basic Materials,185.32,,,,3885 cr,356 cr,none,0.0,0.0,0.0,307.27 => 45.0%,163.43 => 3.26%,57.71,2.83,7.05,16.57,Downtrend,Downtrend,Downtrend,132.51 => 21.56%,132.51 => 21.56%,45.1 => 73.3%,149.95 => 11.24%,136.33 => 19.3%,107.36 => 36.45%
AGIIL,943.0,1.0,,1237.6,AGI INFRA LIMITED,Real Estate,120.65,,,,344 cr,72 cr,none,0.0,0.0,0.0,1210.0 => -2.0%,929.66 => 24.88%,71.51,3.04,5.65,12.98,Downtrend,Downtrend,Downtrend,685.0 => 44.65%,685.0 => 44.65%,0.0 => 100.0%,1098.06 => 11.27%,0.0 => 100.0%,0.0 => 100.0%
NOCIL,944.0,5.0,,181.02,NOCIL LIMITED,Basic Materials,105.51,,,,1357 cr,93 cr,none,319.0,196.0,126.0,336.0 => 46.0%,199.25 => -10.07%,47.08,2.19,4.85,13.46,Downtrend,Downtrend,Downtrend,158.1 => 12.66%,158.1 => 12.66%,199.1 => -9.99%,169.16 => 6.55%,143.17 => 20.91%,132.6 => 26.75%
SHAREINDIA,945.0,5.0,,138.3,SHARE IND. SECURITIES LTD,Financial Services,88.31,,,,1261 cr,309 cr,none,0.0,0.0,0.0,405.28 => 66.0%,195.03 => -41.02%,22.07,2.63,6.69,16.77,Downtrend,Downtrend,Downtrend,269.55 => -94.9%,269.55 => -94.9%,198.12 => -43.25%,129.2 => 6.58%,94.16 => 31.91%,0.0 => 100.0%
HPL,946.0,1.0,,467.2,HPL ELECTRIC & POWER LTD,Industrials,142.42,,,,1690 cr,95 cr,none,0.0,0.0,0.0,694.0 => 33.0%,495.63 => -6.09%,37.15,2.92,9.73,21.06,Downtrend,Downtrend,Downtrend,339.0 => 27.44%,339.0 => 27.44%,50.8 => 89.13%,400.16 => 14.35%,372.63 => 20.24%,340.4 => 27.14%
ORISSAMINE,947.0,1.0,,4994.4,ORISSA MIN DEV CO LTD,Basic Materials,-85.97,,,,70 cr,-41 cr,none,0.0,0.0,0.0,9721.05 => 49.0%,5467.42 => -9.47%,55.83,3.61,6.68,16.54,Downtrend,Downtrend,Downtrend,4310.0 => 13.7%,4310.0 => 13.7%,2200.0 => 55.95%,4572.41 => 8.45%,3447.04 => 30.98%,3961.81 => 20.68%
RAMRAT,948.0,1.0,,636.3,RAM RATNA WIRES LIMITED,Industrials,109.75,,,,3758 cr,69 cr,none,0.0,0.0,0.0,785.95 => 19.0%,607.81 => 4.48%,28.98,3.63,7.54,17.54,Downtrend,Downtrend,Downtrend,456.6 => 28.24%,456.6 => 28.24%,0.0 => 100.0%,617.63 => 2.93%,542.57 => 14.73%,0.0 => 100.0%
DCXINDIA,949.0,5.0,,265.9,DCX SYSTEMS LIMITED,Industrials,123.56,,,,1168 cr,40 cr,none,286.0,275.0,260.0,451.9 => 41.0%,287.79 => -8.23%,47.38,2.84,7.06,21.88,Downtrend,Downtrend,Downtrend,200.1 => 24.75%,200.1 => 24.75%,0.0 => 100.0%,241.77 => 9.07%,196.72 => 26.02%,0.0 => 100.0%
EVEREADY,950.0,5.0,,406.2,EVEREADY INDS. IND.  LTD.,Industrials,63.44,,,,1369 cr,83 cr,none,0.0,0.0,0.0,505.0 => 20.0%,355.43 => 12.5%,36.92,2.73,9.24,13.81,Downtrend,Downtrend,Downtrend,272.3 => 32.96%,272.3 => 32.96%,34.3 => 91.56%,395.91 => 2.53%,336.43 => 17.18%,234.96 => 42.16%
ROSSTECH,951.0,1.0,,781.2,ROSSELL TECHSYS LIMITED,Industrials,35.5,,,,305 cr,15 cr,none,0.0,0.0,0.0,832.0 => 6.0%,0.0 => 100.0%,67.81,4.99,10.48,13.06,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,658.69 => 15.68%,0.0 => 100.0%,0.0 => 100.0%
DALMIASUG,952.0,5.0,,363.4,DALMIA BHARAT SUG IN LTD,Consumer Defensive,399.62,,,,3728 cr,370 cr,none,550.0,550.0,550.0,585.0 => 38.0%,379.98 => -4.56%,39.72,2.01,5.79,17.9,Downtrend,Downtrend,Downtrend,291.0 => 19.92%,291.0 => 19.92%,281.05 => 22.66%,338.58 => 6.83%,299.3 => 17.64%,282.36 => 22.3%
ARVSMART,953.0,5.0,,640.7,ARVIND SMARTSPACES LTD,Real Estate,131.24,,,,741 cr,119 cr,none,975.0,975.0,932.0,1025.0 => 37.0%,705.54 => -10.12%,55.72,2.48,5.6,14.83,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,309.0 => 51.77%,60.5 => 90.56%,591.27 => 7.71%,478.18 => 25.37%,322.53 => 49.66%
MANINDS,954.0,5.0,,436.6,MAN INDUSTRIES (I) LTD.,Basic Materials,215.79,,,,3499 cr,162 cr,none,480.0,465.0,450.0,513.7 => 15.0%,342.91 => 21.46%,57.62,3.71,8.8,16.12,Downtrend,Downtrend,Downtrend,201.55 => 53.84%,201.55 => 53.84%,69.5 => 84.08%,374.44 => 14.24%,306.36 => 29.83%,263.18 => 39.72%
STYLAMIND,955.0,5.0,,1730.5,STYLAM INDUSTRIES LIMITED,Consumer Cyclical,389.11,,,,1065 cr,122 cr,none,2384.0,2113.0,1700.0,2735.0 => 37.0%,1806.16 => -4.37%,52.22,2.78,5.74,14.92,Downtrend,Downtrend,Downtrend,1464.25 => 15.39%,1464.25 => 15.39%,1414.0 => 18.29%,1576.78 => 8.88%,1374.01 => 20.6%,0.0 => 100.0%
HIRECT,956.0,1.0,,1699.6,HIND RECTIFIER LIMITED,Industrials,93.15,,,,735 cr,43 cr,none,0.0,0.0,0.0,2108.5 => 19.0%,1275.84 => 24.93%,52.77,3.46,11.53,16.55,Downtrend,Downtrend,Downtrend,799.0 => 52.99%,799.0 => 52.99%,89.0 => 94.76%,1409.4 => 17.07%,1252.94 => 26.28%,1017.68 => 40.12%
GIPCL,957.0,5.0,,187.52,GUJ IND POW CO. LTD,Utilities,232.47,,,,1308 cr,201 cr,none,385.0,385.0,385.0,269.9 => 31.0%,196.34 => -4.7%,43.74,2.25,6.3,16.12,Downtrend,Downtrend,Downtrend,148.1 => 21.02%,148.1 => 21.02%,68.4 => 63.52%,173.65 => 7.4%,152.07 => 18.91%,156.12 => 16.75%
TCIEXP,958.0,5.0,,755.8,TCI EXPRESS LIMITED,Industrials,199.17,,,,1202 cr,83 cr,buy,1250.0,740.5,648.0,2572.0 => 71.0%,731.29 => 3.24%,66.61,3.51,5.93,13.06,Downtrend,Downtrend,Downtrend,601.0 => 20.48%,601.0 => 20.48%,455.8 => 39.69%,661.0 => 12.54%,530.27 => 29.84%,391.57 => 48.19%
SIRCA,959.0,5.0,,507.55,SIRCA PAINT INDIA LIMITED,Basic Materials,63.67,,,,410 cr,53 cr,none,375.0,375.0,375.0,504.9 => -1.0%,347.69 => 31.5%,74.08,1.95,5.26,11.11,Downtrend,Downtrend,Downtrend,230.69 => 54.55%,230.69 => 54.55%,282.05 => 44.43%,438.35 => 13.63%,375.87 => 25.94%,0.0 => 100.0%
SANDHAR,960.0,5.0,,478.6,SANDHAR TECHNOLOGIES LTD,Consumer Cyclical,189.3,,,,4062 cr,141 cr,none,600.0,558.5,517.0,697.5 => 31.0%,454.13 => 5.11%,60.25,3.09,7.58,18.45,Downtrend,Downtrend,Downtrend,315.0 => 34.18%,315.0 => 34.18%,190.0 => 60.3%,405.78 => 15.22%,357.52 => 25.3%,0.0 => 100.0%
NRBBEARING,961.0,5.0,,296.75,NRB BEARING LIMITED,Consumer Cyclical,92.7,,,,1219 cr,87 cr,none,346.0,346.0,346.0,401.55 => 26.0%,261.15 => 12.0%,59.25,3.21,6.55,14.03,Downtrend,Downtrend,Downtrend,191.45 => 35.48%,191.45 => 35.48%,108.0 => 63.61%,259.78 => 12.46%,229.19 => 22.77%,197.5 => 33.45%
SERVOTECH,962.0,1.0,,127.19,SERVOTECH REN POW SYS LTD,Industrials,10.63,,,,699 cr,33 cr,none,0.0,0.0,0.0,205.4 => 38.0%,137.03 => -7.74%,43.33,2.46,7.4,19.94,Downtrend,Downtrend,Downtrend,97.55 => 23.3%,97.55 => 23.3%,3.1 => 97.56%,116.49 => 8.41%,96.98 => 23.75%,0.0 => 100.0%
HONDAPOWER,963.0,5.0,,2830.8,HONDA I POWER PRODUCT LTD,Industrials,851.35,,,,805 cr,73 cr,none,0.0,0.0,0.0,4500.0 => 37.0%,2605.79 => 7.95%,44.4,2.07,6.35,17.59,Downtrend,Downtrend,Downtrend,1815.0 => 35.88%,1815.0 => 35.88%,726.0 => 74.35%,2569.2 => 9.24%,2041.55 => 27.88%,2208.83 => 21.97%
BCG,964.0,1.0,,14.22,BRIGHTCOM GROUP LIMITED,Communication Services,43.2,,,,5420 cr,761 cr,none,0.0,0.0,0.0,122.88 => 88.0%,11.52 => 18.98%,39.13,3.04,10.89,16.23,Downtrend,Downtrend,Downtrend,6.8 => 52.18%,6.8 => 52.18%,6.8 => 52.18%,13.32 => 6.36%,10.56 => 25.72%,0.67 => 95.3%
JTLIND,965.0,1.0,,72.95,JTL INDUSTRIES LIMITED,Basic Materials,30.99,,,,1944 cr,84 cr,strong_buy,110.0,87.0,86.0,139.0 => 48.0%,81.3 => -11.45%,41.49,2.7,9.08,18.75,Downtrend,Downtrend,Downtrend,83.45 => -14.39%,59.77 => 18.07%,0.0 => 100.0%,67.81 => 7.04%,56.28 => 22.85%,0.0 => 100.0%
RPSGVENT,966.0,5.0,,862.05,RPSG VENTURES LIMITED,Technology,804.41,,,,10063 cr,-68 cr,none,0.0,0.0,0.0,1360.0 => 37.0%,915.29 => -6.18%,42.49,1.88,4.82,17.66,Downtrend,Downtrend,Downtrend,681.0 => 21.0%,681.0 => 21.0%,360.1 => 58.23%,799.46 => 7.26%,699.6 => 18.84%,0.0 => 100.0%
INDOTHAI,967.0,1.0,,240.28,INDO THAI SEC LTD,Financial Services,15.33,,,,30 cr,11 cr,none,0.0,0.0,0.0,231.0 => -4.0%,180.49 => 24.88%,79.37,5.49,10.76,12.48,Downtrend,Downtrend,Downtrend,23.6 => 90.18%,23.6 => 90.18%,1.24 => 99.48%,175.0 => 27.17%,148.84 => 38.06%,117.05 => 51.29%
SDBL,968.0,1.0,,136.84,SOM DIST & BREW LTD,Consumer Defensive,36.22,,,,1459 cr,108 cr,none,0.0,0.0,0.0,173.03 => 21.0%,132.53 => 3.15%,47.02,2.75,6.18,19.6,Downtrend,Downtrend,Downtrend,95.61 => 30.13%,95.61 => 30.13%,8.84 => 93.54%,120.38 => 12.03%,120.79 => 11.73%,81.11 => 40.73%
VENUSPIPES,969.0,1.0,,1380.9,VENUS PIPES & TUBES LTD,Basic Materials,261.2,,,,995 cr,90 cr,none,2432.0,1709.5,1650.0,2450.35 => 44.0%,1382.3 => -0.1%,53.3,4.43,8.03,18.84,Downtrend,Downtrend,Downtrend,1005.3 => 27.2%,1005.3 => 27.2%,0.0 => 100.0%,1185.67 => 14.14%,964.44 => 30.16%,0.0 => 100.0%
XPROINDIA,970.0,5.0,,1199.8,XPRO INDIA LIMITED,Basic Materials,273.66,,,,542 cr,18 cr,none,0.0,0.0,0.0,1677.0 => 28.0%,1221.44 => -1.8%,51.79,6.02,8.61,15.89,Downtrend,Downtrend,Downtrend,860.0 => 28.32%,946.0 => 21.15%,520.25 => 56.64%,1092.6 => 8.93%,944.55 => 21.27%,963.21 => 19.72%
KPEL,971.0,5.0,,419.1,K.P. ENERGY LIMITED,Industrials,46.98,,,,1031 cr,123 cr,none,0.0,0.0,0.0,675.0 => 38.0%,455.98 => -8.8%,41.61,2.81,5.79,23.77,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,336.6 => 19.69%,0.0 => 100.0%,355.29 => 15.22%,0.0 => 100.0%,0.0 => 100.0%
LAOPALA,972.0,5.0,,251.18,LA OPALA RG LIMITED,Consumer Cyclical,74.27,,,,324 cr,98 cr,none,394.0,352.0,310.0,479.75 => 48.0%,257.9 => -2.68%,50.56,2.89,6.87,13.79,Downtrend,Downtrend,Downtrend,187.37 => 25.4%,187.37 => 25.4%,239.85 => 4.51%,234.14 => 6.78%,199.13 => 20.72%,178.66 => 28.87%
INDOCO,973.0,5.0,,302.45,INDOCO REMEDIES LTD.,Healthcare,113.36,,,,1671 cr,-112 cr,none,325.0,254.0,207.0,530.25 => 43.0%,279.66 => 7.54%,56.76,4.33,9.52,16.46,Downtrend,Downtrend,Downtrend,190.0 => 37.18%,190.0 => 37.18%,306.4 => -1.31%,262.69 => 13.15%,236.15 => 21.92%,197.98 => 34.54%
MOREPENLAB,974.0,5.0,,50.81,MOREPEN LAB. LTD,Healthcare,19.92,,,,1801 cr,93 cr,none,0.0,0.0,0.0,168.0 => 70.0%,59.65 => -17.4%,43.79,2.95,7.94,23.13,Downtrend,Downtrend,Downtrend,42.0 => 17.34%,42.0 => 17.34%,23.6 => 53.55%,46.44 => 8.6%,35.28 => 30.56%,39.01 => 23.23%
SHALBY,975.0,5.0,,258.57,SHALBY LIMITED,Healthcare,101.79,,,,1104 cr,-1 cr,none,0.0,0.0,0.0,339.5 => 24.0%,205.56 => 20.5%,71.8,5.08,7.8,10.05,Downtrend,Downtrend,Downtrend,210.35 => 18.65%,210.35 => 18.65%,94.95 => 63.28%,216.45 => 16.29%,167.63 => 35.17%,0.0 => 100.0%
SOTL,976.0,5.0,,403.65,SAVITA OIL TECHNOLO. LTD,Basic Materials,242.2,,,,3847 cr,129 cr,none,0.0,0.0,0.0,655.0 => 38.0%,431.29 => -6.85%,44.6,1.93,3.74,14.7,Downtrend,Downtrend,Downtrend,343.25 => 14.96%,343.25 => 14.96%,186.4 => 53.82%,384.25 => 4.81%,315.61 => 21.81%,318.94 => 20.99%
MUTHOOTMF,977.0,5.0,,165.12,MUTHOOT MICROFIN LIMITED,Financial Services,157.06,,,,456 cr,-330 cr,none,200.0,177.5,155.0,281.0 => 41.0%,152.05 => 7.92%,52.38,3.42,7.58,16.91,Downtrend,Downtrend,Downtrend,119.25 => 27.78%,119.25 => 27.78%,0.0 => 100.0%,148.23 => 10.23%,0.0 => 100.0%,0.0 => 100.0%
