Symbol,Rank,MTF,Quality Score,LTP,Stock Name,Sector,Intrinsic,Dividend%,Announced,Executed,Revenue,Net Profit,Recommended,Projected High,Projected Medium,Projected Low,All time high,SMA 200,RSI,Day Volatility,Week Volatility,Month Volatility,Day Trend,Week Trend,Month Trend,Day Support,Week Support,Month Support,Day NWE,Week NWE,Month NWE
SHAKTIPUMP,535.0,5.0,,850.9,SHAKTI PUMPS (I) LTD,Industrials,96.59,,,,2573 cr,413 cr,none,0.0,0.0,0.0,1387.0 => 39.0%,927.62 => -9.02%,49.04,2.32,6.48,15.76,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,63.5 => 92.54%,63.5 => 92.54%,785.37 => 7.7%,674.11 => 20.78%,633.16 => 25.59%
JUBLINGREA,536.0,5.0,,662.7,JUBILANT INGREVIA LIMITED,Basic Materials,185.39,,,,4191 cr,278 cr,none,1250.0,893.0,743.0,885.0 => 25.0%,720.31 => -8.69%,28.21,3.42,5.37,15.96,Downtrend,Downtrend,Downtrend,535.2 => 19.24%,535.2 => 19.24%,350.45 => 47.12%,637.26 => 3.84%,605.19 => 8.68%,0.0 => 100.0%
SONATSOFTW,537.0,5.0,,376.85,SONATA SOFTWARE LTD,Technology,61.44,,,,10595 cr,428 cr,buy,475.0,423.0,400.0,870.0 => 57.0%,435.16 => -15.47%,49.13,4.28,10.33,17.4,Downtrend,Downtrend,Downtrend,286.4 => 24.0%,286.4 => 24.0%,228.79 => 39.29%,345.64 => 8.28%,223.27 => 40.75%,315.69 => 16.23%
PGHL,538.0,5.0,,6289.5,PROCTER & GAMBLE HEALTH L,Healthcare,323.51,,,,1273 cr,301 cr,none,0.0,0.0,0.0,7500.0 => 16.0%,5602.4 => 10.92%,49.5,2.51,5.17,8.54,Downtrend,Downtrend,Downtrend,4903.85 => 22.03%,4903.85 => 22.03%,4636.55 => 26.28%,6005.37 => 4.52%,5708.62 => 9.24%,4244.96 => 32.51%
AZAD,539.0,5.0,,1616.2,AZAD ENGINEERING LIMITED,Industrials,228.93,,,,496 cr,100 cr,none,2050.0,1900.0,1882.0,2080.0 => 22.0%,1569.02 => 2.92%,52.87,3.17,6.16,15.31,Downtrend,Downtrend,Downtrend,1159.45 => 28.26%,1159.45 => 28.26%,0.0 => 100.0%,1481.96 => 8.31%,0.0 => 100.0%,0.0 => 100.0%
VESUVIUS,540.0,5.0,,512.95,VESUVIUS INDIA LTD,Industrials,70.51,,,,1897 cr,255 cr,none,585.0,585.0,585.0,646.0 => 21.0%,487.92 => 4.88%,45.33,2.98,5.92,14.55,Downtrend,Downtrend,Downtrend,356.13 => 30.57%,356.13 => 30.57%,90.0 => 82.45%,473.28 => 7.73%,434.24 => 15.35%,417.65 => 18.58%
TEJASNET,541.0,5.0,,589.15,TEJAS NETWORKS LIMITED,Technology,218.14,,,,7562 cr,175 cr,none,780.0,780.0,780.0,1495.0 => 61.0%,787.5 => -33.67%,44.5,2.59,6.91,18.45,Downtrend,Downtrend,Downtrend,651.25 => -10.54%,651.25 => -10.54%,28.9 => 95.09%,544.59 => 7.56%,341.53 => 42.03%,230.09 => 60.94%
NAZARA,542.0,5.0,,1119.0,NAZARA TECHNOLOGIES LTD,Communication Services,339.08,,,,1873 cr,118 cr,none,1723.0,1345.0,665.0,1678.0 => 33.0%,1118.25 => 0.07%,41.5,2.27,10.42,11.15,Downtrend,Downtrend,Downtrend,591.5 => 47.14%,591.5 => 47.14%,591.5 => 47.14%,958.79 => 14.32%,1008.36 => 9.89%,0.0 => 100.0%
CANFINHOME,543.0,5.0,,777.75,CAN FIN HOMES LTD,Financial Services,380.63,,,,1356 cr,881 cr,none,970.0,900.0,800.0,951.75 => 18.0%,724.93 => 6.79%,58.59,2.19,5.16,10.44,Downtrend,Downtrend,Downtrend,558.5 => 28.19%,558.5 => 28.19%,406.65 => 47.71%,718.12 => 7.67%,660.41 => 15.09%,574.87 => 26.09%
ALKYLAMINE,544.0,5.0,,2023.6,ALKYL AMINES CHEM. LTD,Basic Materials,274.26,,,,1578 cr,187 cr,none,3049.0,2307.0,2031.0,4749.0 => 57.0%,1910.75 => 5.58%,41.43,2.28,5.84,13.24,Downtrend,Downtrend,Downtrend,1508.0 => 25.48%,1508.0 => 25.48%,214.0 => 89.42%,1860.58 => 8.06%,1757.62 => 13.14%,1214.35 => 39.99%
BSOFT,545.0,5.0,,369.25,BIRLASOFT LIMITED,Technology,125.19,,,,5333 cr,473 cr,hold,450.0,410.0,339.0,861.85 => 57.0%,440.61 => -19.33%,41.63,2.02,4.58,12.9,Downtrend,Downtrend,Downtrend,331.0 => 10.36%,331.0 => 10.36%,250.25 => 32.23%,349.92 => 5.24%,248.11 => 32.81%,279.74 => 24.24%
JKTYRE,546.0,5.0,,375.25,JK TYRE & INDUSTRIES LTD,Consumer Cyclical,177.01,,,,14923 cr,449 cr,none,460.0,390.0,316.0,553.95 => 32.0%,337.88 => 9.96%,67.29,2.06,5.7,12.92,Downtrend,Downtrend,Downtrend,243.0 => 35.24%,243.0 => 35.24%,95.45 => 74.56%,332.52 => 11.39%,256.54 => 31.64%,264.13 => 29.61%
MMTC,547.0,5.0,,68.25,MMTC LIMITED,Industrials,7.63,,,,3 cr,98 cr,none,0.0,0.0,0.0,1310.0 => 95.0%,64.55 => 5.42%,59.04,4.0,6.64,21.88,Downtrend,Downtrend,Downtrend,44.5 => 34.8%,44.5 => 34.8%,26.3 => 61.47%,59.29 => 13.12%,46.56 => 31.78%,47.1 => 30.98%
TRANSRAILL,548.0,5.0,,762.25,TRANSRAIL LIGHTING LTD,Industrials,148.17,,,,5952 cr,381 cr,none,950.0,950.0,950.0,855.8 => 11.0%,0.0 => 100.0%,46.5,2.93,7.51,13.36,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,0.0 => 100.0%,0.0 => 100.0%,691.16 => 9.33%,0.0 => 100.0%,0.0 => 100.0%
RKFORGE,549.0,5.0,,561.75,RAMKRISHNA FORGINGS LTD,Industrials,167.8,,,,4090 cr,290 cr,none,1111.0,673.0,540.0,1064.05 => 47.0%,696.37 => -23.96%,39.92,2.31,4.85,19.77,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,146.0 => 74.01%,146.0 => 74.01%,525.72 => 6.41%,434.65 => 22.63%,523.11 => 6.88%
