DCW,Support,1058,5.0,74.26,35.39,2.77,38.12,91.18,1.98
ACCELYA,Support,1055,5.0,1490.5,186.01,9.09,44.21,52.97,2.13
GRMOVER,Support,1060,1.0,353.75,70.94,3.04,50.28,,2.92
KICL,Support,1057,1.0,5052.9,19964.16,8.26,31.33,84.93,2.69
VENKEYS,Support,1066,5.0,1520.8,1047.33,-4.22,-0.67,6.56,1.75
GEOJITFSL,Support,1064,5.0,77.35,41.52,8.97,21.49,49.39,2.73
DOLLAR,Support,1065,5.0,379.3,150.92,4.48,18.11,74.66,3.0
RANEHOLDIN,Support,1068,5.0,1496.2,774.48,4.29,23.07,81.29,2.27
MANGLMCEM,Support,1076,5.0,752.95,309.81,9.44,68.91,84.53,1.68
YASHO,Support,1074,5.0,1719.6,365.46,6.14,11.9,,3.35
INDIANHUME,Support,1083,5.0,381.85,261.32,6.51,26.4,69.73,2.46
THEJO,Support,1077,1.0,1892.4,274.55,6.97,57.62,93.83,2.51
UGROCAP,Support,1099,5.0,168.62,219.61,1.79,-26.32,,3.42
NITINSPIN,Support,1091,5.0,352.15,233.29,-2.37,17.51,93.18,2.77
SPAL,Support,1095,5.0,774.8,341.27,-0.12,18.95,92.68,3.01
LAXMIDENTL,Support,1105,5.0,346.6,38.47,9.64,,,5.82
ASALCBR,Support,1102,1.0,1011.3,287.76,-2.54,60.64,,2.55
VIDHIING,Support,1109,5.0,375.3,59.99,4.69,-1.67,89.87,2.1
ASTEC,Support,1114,5.0,824.95,119.7,5.42,-0.01,63.03,2.91
PANAMAPET,Support,1124,5.0,295.7,207.51,-9.91,-3.15,91.38,3.48
GOCLCORP,Support,1119,1.0,365.3,318.0,8.6,9.66,70.45,4.42
BFINVEST,Support,1130,1.0,467.35,1831.78,-0.43,13.13,67.69,1.33
JINDRILL,Support,1129,5.0,608.0,548.03,2.96,14.47,93.33,1.53
QUADFUTURE,Support,1138,5.0,432.6,75.42,1.05,,,2.99
DEN,Support,1137,5.0,36.35,75.67,5.06,30.67,30.67,2.17
SANSTAR,Support,1136,5.0,95.2,38.83,8.25,,,4.09
UDS,Support,1134,5.0,259.5,143.11,7.71,5.78,,2.36
JNKINDIA,Support,1151,5.0,298.1,90.3,6.07,11.17,,4.06
SESHAPAPER,Support,1155,5.0,262.3,330.15,2.31,16.09,69.5,2.0
TARSONS,Support,1156,5.0,309.15,118.59,-16.77,9.43,,2.1
SURAKSHA,Support,1157,5.0,315.05,40.56,9.3,,,3.17
TTKHLTCARE,Support,1150,5.0,1181.3,753.73,6.6,6.79,77.99,1.74
HIMATSEIDE,Support,1154,5.0,131.64,161.68,-3.02,18.2,48.65,2.69
GREENPOWER,Support,1149,1.0,14.23,9.17,8.64,50.18,92.24,2.33
MMFL,Support,1164,1.0,332.6,184.6,8.9,-24.02,77.44,2.09
SATIN,Support,1162,5.0,147.0,231.19,-1.43,-24.52,71.23,1.91
CONFIPET,Support,1170,5.0,47.65,40.2,-4.83,3.36,,2.89
JAGRAN,Support,1176,5.0,71.96,88.72,2.74,34.55,55.39,1.2
NIITLTD,Support,1182,5.0,112.29,79.65,7.92,7.92,31.16,2.49
GPTINFRA,Support,1181,1.0,122.15,41.43,0.89,30.84,97.6,4.13
BLKASHYAP,Support,1187,1.0,66.81,22.46,5.31,75.15,95.06,2.99
BIRLANU,Support,1189,5.0,1979.0,1606.5,-11.54,,,2.13
PARACABLES,Support,1194,1.0,48.49,23.51,9.05,80.1,89.79,2.89
DCMSRIND,Support,1203,1.0,166.88,103.34,7.68,14.84,,3.04
MADRASFERT,Support,1201,1.0,90.69,-2.01,3.96,26.67,90.08,2.19
SALZERELEC,Support,1204,5.0,818.5,330.94,4.48,93.37,93.37,2.42
CLSEL,Support,1210,5.0,285.25,147.46,-11.87,35.72,,2.49
SURAJEST,Support,1207,5.0,298.7,178.15,9.61,,,3.47
ALLDIGI,Support,1214,5.0,923.9,170.29,4.21,,,2.5
ALICON,Support,1219,1.0,849.0,364.73,7.63,8.65,81.5,3.46
KELLTONTEC,Support,1220,5.0,26.75,10.6,7.29,36.45,95.1,2.63
BSHSL,Support,1227,1.0,130.13,10.18,0.11,95.06,,2.92
SPORTKING,Support,1216,1.0,109.63,78.25,4.22,36.23,,1.98
